# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GJ,comm,electricity,comm lighting,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.00502416,0.005031605
HP,comm,electricity,comm lighting,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.000996311
HR,comm,electricity,comm lighting,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.00272142,0.002716165
JH,comm,electricity,comm lighting,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.000448909
JK,comm,electricity,comm lighting,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.00115137,0.001118161
KA,comm,electricity,comm lighting,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,6.18E-03,0.006226202
KL,comm,electricity,comm lighting,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.002813717
LA,comm,electricity,comm lighting,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,2.50E-05
LD,comm,electricity,comm lighting,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,6.95E-06
MH,comm,electricity,comm lighting,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.00355878,0.003520375
ML,comm,electricity,comm lighting,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.01235106,0.012398098
MN,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.000151616
MP,comm,electricity,comm lighting,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,1.05E-04,7.69E-05
MZ,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,5.56E-05
NL,comm,electricity,comm lighting,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.40E-05
OD,comm,electricity,comm lighting,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.00136071,0.001354395
PB,comm,electricity,comm lighting,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.00282609,0.002807064
PC,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,7.66E-05
RJ,comm,electricity,comm lighting,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.00376812,0.003797766
SK,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.000132376
TN,comm,electricity,comm lighting,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.00764091,0.007603882
