# File: A44.india_state_in_EJ_comm_F_cooking_Y.csv
# Title: State-wise cooking energy demand in India
# Units: EJ/yr
# Comments: commential cooking energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
HR,comm,refined liquids,comm cooking,0.00251208,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.00251,0.002344422
JH,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00057623
JK,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00017306
KA,comm,refined liquids,comm cooking,0.0083736,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.008332976
KL,comm,refined liquids,comm cooking,0.0041868,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.004324203
LA,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,3.78E-06
LD,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,4.19E-07
MH,comm,refined liquids,comm cooking,0.01297908,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.013077054
ML,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.000139745
MN,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,4.33E-06
