# File: A44.india_state_in_EJ_res_F_cooking_Y.csv
# Title: State-wise cooking energy demand in India
# Units: EJ/yr
# Comments: Residential cooking energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
MH,resid rural,electricity,resid rural cooking,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,2.45E-05
ML,resid rural,electricity,resid rural cooking,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,0.000749079,7.49E-05
MN,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,2.49E-06
MP,resid rural,electricity,resid rural cooking,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,0.000410141,4.10E-05
MZ,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0
NL,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,4.07E-06
OD,resid rural,electricity,resid rural cooking,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.001796727,0.000179673
PB,resid rural,electricity,resid rural cooking,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,0.000403982,4.04E-05
PC,resid rural,electricity,resid rural cooking,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,1.64E-06
RJ,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0
SK,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,2.24E-06
TN,resid rural,electricity,resid rural cooking,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,0.000529052,5.29E-05
TR,resid rural,electricity,resid rural cooking,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-05,4.56E-06
TS,resid rural,electricity,resid rural cooking,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,0.000316137,3.16E-05
UK,resid rural,electricity,resid rural cooking,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0
UP,resid rural,electricity,resid rural cooking,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,0.000475388,4.75E-05
