# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/pkm or 1990$/tkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ML,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010073069,0.010346096,0.010626523,0.010914552,0.01120258,0.011490608,0.01181064,0.012162674,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706,0.012482706
MN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.01010629,0.01038044,0.010662027,0.010951252,0.011240477,0.011529702,0.011851063,0.01220456,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921
MP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010006626,0.010277407,0.010555516,0.010841151,0.011126786,0.011412421,0.011729793,0.012078902,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274
MZ,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.009993337,0.01026367,0.010541315,0.010826471,0.011111627,0.011396783,0.011713623,0.012062148,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988,0.012378988
NL,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010139512,0.010414784,0.01069753,0.010987952,0.011278374,0.011568795,0.011891486,0.012246446,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137
OD,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010172734,0.010449129,0.010733033,0.011024652,0.011316271,0.011607889,0.01193191,0.012288332,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353,0.012612353
PB,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010039847,0.010311751,0.01059102,0.010877851,0.011164683,0.011451514,0.011770216,0.012120788,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949
PC,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010006626,0.010277407,0.010555516,0.010841151,0.011126786,0.011412421,0.011729793,0.012078902,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274
RJ,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.01010629,0.01038044,0.010662027,0.010951252,0.011240477,0.011529702,0.011851063,0.01220456,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921
SK,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010139512,0.010414784,0.01069753,0.010987952,0.011278374,0.011568795,0.011891486,0.012246446,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137
TN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010139512,0.010414784,0.01069753,0.010987952,0.011278374,0.011568795,0.011891486,0.012246446,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137,0.012569137
TR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010079713,0.010352965,0.010633624,0.010921892,0.011210159,0.011498427,0.011818724,0.012171051,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349,0.012491349
TS,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010438508,0.010723883,0.011017061,0.011318253,0.011619446,0.011920638,0.012255297,0.012623421,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079
UK,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010372064,0.010655195,0.010946054,0.011244853,0.011543652,0.011842451,0.01217445,0.012539649,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648,0.012871648
UP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010239177,0.010517817,0.01080404,0.011098052,0.011392064,0.011686076,0.012012756,0.012372104,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785,0.012698785
WB,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010152801,0.010428522,0.010711731,0.011002632,0.011293532,0.011584433,0.011907656,0.012263201,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424
AN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
AP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018545126,0.017270937,0.016084294,0.014979183,0.013874071,0.013321515,0.012768959,0.012216403,0.011663848,0.01140042,0.011173529,0.010980476,0.010818996,0.010687213,0.010583605,0.010506971,0.01045641,0.010431304,0.010431304
AR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.0181273,0.01687616,0.015711373,0.014626979,0.013542585,0.013000388,0.012458191,0.011915994,0.011373798,0.011119371,0.010900233,0.010713777,0.010557815,0.010430536,0.010330468,0.010256452,0.010207619,0.010183371,0.010183371
AS,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018205034,0.016949606,0.015780753,0.014692505,0.013604257,0.013060133,0.012516009,0.011971885,0.01142776,0.011171659,0.010951079,0.010763395,0.010606407,0.01047829,0.010377563,0.01030306,0.010253906,0.010229498,0.010229498
BR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018350787,0.017087319,0.015910842,0.014815367,0.013719891,0.013172154,0.012624416,0.012076678,0.011528941,0.0112697,0.011046415,0.01085643,0.010697516,0.010567829,0.010465867,0.010390451,0.010340693,0.010315986,0.010315986
CG,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018059283,0.016811894,0.015650665,0.014569643,0.013488622,0.012948112,0.012407601,0.011867091,0.01132658,0.011073619,0.010855743,0.010670361,0.010515297,0.010388751,0.01028926,0.01021567,0.010167118,0.01014301,0.01014301
CH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017962116,0.016720086,0.015563939,0.014487736,0.013411533,0.012873431,0.01233533,0.011797228,0.011259127,0.011008259,0.010792186,0.010608338,0.010454558,0.010329059,0.010230391,0.01015741,0.01010926,0.010085351,0.010085351
DD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
DL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018788054,0.017500461,0.016301109,0.015183952,0.014066795,0.013508217,0.012949638,0.01239106,0.011832481,0.01156382,0.011332421,0.011135533,0.010970845,0.010836445,0.010730778,0.010652621,0.010601056,0.010575451,0.010575451
DN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
GA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018447956,0.017179128,0.015997568,0.014897275,0.013796981,0.013246834,0.012696688,0.012146541,0.011596394,0.01133506,0.011109972,0.010918453,0.010758256,0.010627521,0.010524736,0.010448711,0.010398552,0.010373645,0.010373645
GJ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
HP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018059283,0.016811894,0.015650665,0.014569643,0.013488622,0.012948112,0.012407601,0.011867091,0.01132658,0.011073619,0.010855743,0.010670361,0.010515297,0.010388751,0.01028926,0.01021567,0.010167118,0.01014301,0.01014301
HR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
JH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018350787,0.017087319,0.015910842,0.014815367,0.013719891,0.013172154,0.012624416,0.012076678,0.011528941,0.0112697,0.011046415,0.01085643,0.010697516,0.010567829,0.010465867,0.010390451,0.010340693,0.010315986,0.010315986
JK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
KA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.01883664,0.017546365,0.016344472,0.015224906,0.01410534,0.013545557,0.012985774,0.012425991,0.011866208,0.0115965,0.0113642,0.011166544,0.011001215,0.010866291,0.010760213,0.010681751,0.010629985,0.01060428,0.01060428
KL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
LA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
