# File: A44.india_state_in_EJ_res_F_apploth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: Residential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GA,resid rural,electricity,resid rural apploth,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,8.25E-04
GJ,resid rural,electricity,resid rural apploth,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.004006237,0.007593355
HP,resid rural,electricity,resid rural apploth,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000364608,0.000724338
HR,resid rural,electricity,resid rural apploth,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.001574633,0.003308181
JH,resid rural,electricity,resid rural apploth,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.00069817,0.001358207
JK,resid rural,electricity,resid rural apploth,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000313187,0.000581496
KA,resid rural,electricity,resid rural apploth,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.003821016,0.00760043
KL,resid rural,electricity,resid rural apploth,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00316015,0.00626201
LA,resid rural,electricity,resid rural apploth,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,0.000277077,1.76E-05
LD,resid rural,electricity,resid rural apploth,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,6.43E-06,2.10E-05
