# File: A44.india_state_globaltech_eff.csv
# Title: Building default technology efficiency
# Units: Unitless
# Source: ASSUMED
# Column types: ccccnnnnnnnnnnnnnnnnnnnn
# ----------
resid urban cooking,biomass,biomass,delivered biomass,0.1,0.1,0.1,0.1,0.101,0.103,0.104,0.105,0.107,0.108,0.109,0.111,0.112,0.113,0.115,0.116,0.118,0.119,0.121,0.122
resid urban cooking,refined liquids,refined liquids,refined liquids enduse,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
resid rural cooking,refined liquids,refined liquids,refined liquids enduse,0.4,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
resid rural cooking,traditional biomass,traditional biomass,traditional biomass,0.1,0.03,0.1,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
resid urban cooking,traditional biomass,traditional biomass,traditional biomass,0.1,0.1,0.1,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
resid rural apploth,biomass,biomass-based app,delivered biomass,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
resid urban apploth,biomass,biomass-based app,delivered biomass,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
resid rural apploth,refined liquids,RL-based app,refined liquids enduse,1,0.7,0.7,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid urban apploth,refined liquids,RL-based app,refined liquids enduse,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
resid rural apploth,gas,Gas-based app,delivered gas,1,0.7,0.7,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid urban apploth,gas,Gas-based app,delivered gas,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
resid rural cooking,gas,gas based cooking,delivered gas,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
resid urban cooking,gas,gas based cooking,delivered gas,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
comm hvac,electricity,heating-cooling appl,elect_td_com,3.5,3.7,3.9,4.1,4.3,4.5,4.7,4.9,5.1,5.3,5.5,5.7,5.9,6.1,6.3,6.5,6.7,6.9,7.1,7.3
comm lighting,electricity,electricity based lighting,elect_td_com,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.6,21.8,22,22.2,22.4,22.6,22.8,23,23.2,23.4,23.6,23.8
comm ref,electricity,electricity based ref,elect_td_com,1,1,1,1,1.013,1.025,1.038,1.051,1.065,1.078,1.092,1.105,1.119,1.133,1.148,1.162,1.177,1.191,1.206,1.221
comm others,electricity,electricity based others,elect_td_com,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
comm others,coal,coal based others,delivered coal,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
comm others,biomass,biomass based others,delivered biomass,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
comm others,refined liquids,refined liquids based others,refined liquids enduse,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
comm cooking,refined liquids,refined liquids based cooking,refined liquids enduse,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
comm cooking,gas,gas based cooking,delivered gas,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
comm cooking,electricity,electric cooking,elect_td_com,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
